GRIDGRAPH_0 Features not determined due to ERROR: Parsing not possible There is no feasible solution! Jumping to next file.
GRIDGRAPH_2 Features not determined due to ERROR: Skipping instance, runtimes are 0 across the board
GRIDGRAPH_1 Features not determined due to ERROR: Parsing not possible There is no feasible solution! Jumping to next file.
NETGEN_2 Features not determined due to ERROR: Parsing not possible There is no feasible solution! Jumping to next file.
GRIDGRAPH_3 Features not determined due to ERROR: Skipping instance, runtimes are 0 across the board
NETGEN_1 Features not determined due to ERROR: Parsing not possible Encountered unknown cs2 problem! Aborting: line 82516 of input - unbalanced problem
GRIDGRAPH_4 Features not determined due to ERROR: Parsing not possible There is no feasible solution! Jumping to next file.
GOTO_7 4847 28523 0 9999 26981151 0.09460382633291903 0.21963140178445525 1 9928 59901704 0.21153498612864358 0.3574670624165752 9928.0 1 3 8745 0.0003609162195625258 0.014362518842078504 2419144 0.49970399619594835 0.2886273580867231
GRIDGEN_1 2206 137161 1 19998 711547814 0.25941010050145075 0.16678210403069593 1 1000 69036144 0.5033219646984202 0.28808676302890496 763.0 29 2 243962 0.005532571397729342 0.021554632363884236 1113692 0.5050757369614512 0.2908074507337023
GRIDGEN_3 2549 48283 1 20000 271294151 0.28094168858604474 0.2063500578966752 1 192985 414257203 0.04445824018109979 0.20003415500971564 192985.0 1389 1 965094 0.01893826530612245 0.024565816699848482 1466519 0.002982391933975884 0.019812053819419004
NETGEN_0 3447 42294 1 10000 229520624 0.5426789237244054 0.30844730381758967 1 99617 362856437 0.08612368665125938 0.27223990318900954 99617.0 1 3 2002658 0.1257909917515257 0.10918423436904914 1724112 0.5003226929773651 0.28921168555462823
GRIDGRAPH_5 Features not determined due to ERROR: Skipping instance, runtimes are 0 across the board
GRIDGEN_0 1387 124698 1 19990 629173223 0.2524049972667933 0.14773072117909242 1 86663 81313572 0.00752436461893201 0.04185570045585056 86663.0 48 2 121014 0.004367768299734283 0.02692352090382833 768849 0.006400945134891571 0.026913469937285474
GOTO_3 2143 59405 0 9999 165512508 0.27864499773771667 0.3260233501391983 1 69806 164592227 0.03969113959060486 0.18573387050589632 69806.0 1 2 872 0.05815659597172202 0.10092146471174743 976457 0.45631859684147263 0.30945782143443307
GRIDGRAPH_6 Features not determined due to ERROR: Skipping instance, runtimes are 0 across the board
GOTO_1 2352 61705 0 9999 182280551 0.2954359952647076 0.3284740851508699 1 65793 168127796 0.04141326520482329 0.19032315465055022 65793.0 1 3 5899 0.0005018290089323692 0.020618429914047418 1030516 0.43876969270418864 0.31448206525665967
GOTO_4 1641 62988 0 9999 214436225 0.34047385338013064 0.3319955179865145 1 167199 286754731 0.02722821036794609 0.15890874576417183 167199.0 1 3 5594 0.0006821951219512195 0.02468425339995413 734155 0.4481035913962743 0.30726353311120375
GOTO_6 4868 49676 0 9999 99947736 0.20121936503176044 0.3009881503222834 1 25257 139263751 0.11099660766330098 0.29308152143568206 25257.0 1 3 7933 0.00032599137045407847 0.014343550335318943 2331542 0.4795306915709628 0.3020313182922655
NETGEN_5 2247 5110 11 10000 37028040 0.7246191780821918 0.32493552210032706 1 52468 119333650 0.4450896694166173 0.49161961482094424 52468.0 1 10 9658327 0.43002346393588603 0.27069965870712565 6728519 0.057097253901814284 0.2119906628182275
