GRIDGRAPH_0 21 42 15 15 33 60 43
GRIDGRAPH_456 40 145 16 22 148 303 408
GRIDGRAPH_228 229 1387 117 158 6498 6840 7127
GRIDGRAPH_1 24 65 22 15 34 64 47
GRIDGRAPH_457 47 137 16 23 501 495 477
GRIDGRAPH_229 229 2074 167 154 8763 13567 6322
GRIDGRAPH_2 22 57 14 13 38 83 45
GRIDGRAPH_458 41 145 16 20 398 471 1081
GRIDGRAPH_230 224 1070 28 41 2358 2676 3108
GRIDGRAPH_3 25 84 14 15 39 71 121
GRIDGRAPH_459 46 187 18 25 220 1103 525
GRIDGRAPH_231 213 351 61 74 3786 2219 2551
GRIDGRAPH_4 24 60 16 16 40 71 50
GRIDGRAPH_460 43 123 17 23 131 7205 416
GRIDGRAPH_232 290 350 27 40 2941 2852 2245
GRIDGRAPH_5 23 42 12 33 141 249 248
GRIDGRAPH_461 49 142 20 22 138 244 728
GRIDGRAPH_233 200 544 39 75 3952 4646 5666
GRIDGRAPH_6 22 55 9 59 106 196 225
GRIDGRAPH_462 48 159 18 26 282 313 338
GRIDGRAPH_234 188 1108 41 55 2269 5270 2945
GRIDGRAPH_7 29 55 11 16 160 243 182
GRIDGRAPH_463 45 145 17 22 191 244 437
GRIDGRAPH_235 255 249 27 38 1552 920 1898
GRIDGRAPH_8 25 69 25 15 130 402 283
GRIDGRAPH_464 44 170 20 22 140 287 404
GRIDGRAPH_236 243 1179 43 53 1551 1508 2667
GRIDGRAPH_465 ERROR: There is no feasible solution! Jumping to next file.
GRIDGRAPH_9 31 80 16 46 214 559 229
GRIDGRAPH_237 351 355 27 37 1019 922 2066
GRIDGRAPH_466 ERROR: There is no feasible solution! Jumping to next file.
GRIDGRAPH_10 23 39 9 10 54 110 150
GRIDGRAPH_238 201 405 29 41 1630 976 1983
GRIDGRAPH_467 ERROR: There is no feasible solution! Jumping to next file.
GRIDGRAPH_11 23 48 9 11 57 124 113
GRIDGRAPH_239 238 465 29 56 1454 1359 2726
GRIDGRAPH_468 ERROR: There is no feasible solution! Jumping to next file.
GRIDGRAPH_12 22 76 13 13 170 218 276
GRIDGRAPH_240 ERROR: There is no feasible solution! Jumping to next file.
GRIDGRAPH_469 ERROR: There is no feasible solution! Jumping to next file.
GRIDGRAPH_13 23 58 11 15 137 284 246
GRIDGRAPH_241 ERROR: There is no feasible solution! Jumping to next file.
GRIDGRAPH_470 60 198 93 139 1698 4120 890
GRIDGRAPH_14 25 59 9 11 84 208 127
GRIDGRAPH_242 ERROR: There is no feasible solution! Jumping to next file.
GRIDGRAPH_471 52 335 116 139 4164 3679 1093
GRIDGRAPH_15 22 38 8 10 59 111 112
GRIDGRAPH_243 ERROR: There is no feasible solution! Jumping to next file.
GRIDGRAPH_472 60 367 110 152 1808 3506 1379
GRIDGRAPH_16 25 50 8 10 42 86 119
GRIDGRAPH_244 ERROR: There is no feasible solution! Jumping to next file.
GRIDGRAPH_473 61 311 117 179 2220 4939 1364
GRIDGRAPH_17 25 58 8 10 61 116 159
GRIDGRAPH_245 189 1104 163 168 3618 7605 5522
GRIDGRAPH_474 73 352 87 118 2570 4866 1337
GRIDGRAPH_18 23 62 9 10 78 132 153
GRIDGRAPH_246 188 1390 176 196 7628 12342 5069
GRIDGRAPH_475 43 125 18 30 542 1528 540
GRIDGRAPH_19 25 55 8 10 58 111 108
GRIDGRAPH_247 ERROR: There is no feasible solution! Jumping to next file.
GRIDGRAPH_476 62 151 27 42 917 1742 898
GRIDGRAPH_20 24 39 8 10 58 108 131
GRIDGRAPH_248 180 1592 149 171 9535 9346 6813
GRIDGRAPH_477 51 210 25 44 1066 1845 955
GRIDGRAPH_249 ERROR: There is no feasible solution! Jumping to next file.
GRIDGRAPH_21 22 44 9 10 59 106 114
GRIDGRAPH_478 44 261 26 34 864 1620 1006
GRIDGRAPH_22 26 51 9 8 53 108 115
GRIDGRAPH_250 225 288 25 55 3712 2884 3833
GRIDGRAPH_479 38 287 17 26 1082 4480 1047
GRIDGRAPH_23 23 63 6 9 80 108 157
GRIDGRAPH_251 176 425 26 42 1934 1882 2234
GRIDGRAPH_480 45 107 16 24 169 286 300
GRIDGRAPH_24 22 70 9 13 49 110 111
GRIDGRAPH_252 237 844 29 60 1743 1383 3020
GRIDGRAPH_25 ERROR: There is no feasible solution! Jumping to next file.
GRIDGRAPH_481 49 117 19 25 414 530 774
GRIDGRAPH_253 252 517 28 49 3250 4796 2848
GRIDGRAPH_26 ERROR: There is no feasible solution! Jumping to next file.
GRIDGRAPH_482 57 211 17 24 167 258 421
GRIDGRAPH_254 199 434 31 51 10334 4331 4169
GRIDGRAPH_27 ERROR: There is no feasible solution! Jumping to next file.
GRIDGRAPH_483 45 154 20 26 311 594 546
GRIDGRAPH_255 ERROR: There is no feasible solution! Jumping to next file.
GRIDGRAPH_28 ERROR: There is no feasible solution! Jumping to next file.
GRIDGRAPH_256 ERROR: There is no feasible solution! Jumping to next file.
GRIDGRAPH_484 49 191 18 24 270 716 430
GRIDGRAPH_29 ERROR: There is no feasible solution! Jumping to next file.
GRIDGRAPH_257 ERROR: There is no feasible solution! Jumping to next file.
GRIDGRAPH_485 ERROR: There is no feasible solution! Jumping to next file.
GRIDGRAPH_30 22 50 16 21 89 190 121
GRIDGRAPH_258 ERROR: There is no feasible solution! Jumping to next file.
GRIDGRAPH_486 ERROR: There is no feasible solution! Jumping to next file.
GRIDGRAPH_31 29 71 16 37 251 250 364
GRIDGRAPH_259 ERROR: There is no feasible solution! Jumping to next file.
GRIDGRAPH_487 ERROR: There is no feasible solution! Jumping to next file.
GRIDGRAPH_32 26 81 13 20 230 352 249
GRIDGRAPH_488 ERROR: There is no feasible solution! Jumping to next file.
GRIDGRAPH_260 1004 690 148 202 3565 4568 4747
GRIDGRAPH_489 ERROR: There is no feasible solution! Jumping to next file.
GRIDGRAPH_33 24 90 13 21 180 303 231
GRIDGRAPH_261 ERROR: There is no feasible solution! Jumping to next file.
GRIDGRAPH_34 21 58 11 19 211 245 225
GRIDGRAPH_490 50 238 91 138 2578 6688 1166
GRIDGRAPH_262 203 1131 170 265 12714 18622 10147
GRIDGRAPH_35 24 39 8 10 55 104 124
GRIDGRAPH_491 58 240 96 214 2785 5071 2278
GRIDGRAPH_263 ERROR: There is no feasible solution! Jumping to next file.
GRIDGRAPH_36 24 45 8 11 54 105 105
GRIDGRAPH_492 69 318 154 159 2646 5693 1489
GRIDGRAPH_264 192 722 110 194 8327 12341 4727
