,g_number_of_nodes,g_number_of_arcs,g_min_cost,g_max_cost,g_sum_cost,g_mean_cost,g_std_cost,g_min_cap,g_max_cap,g_sum_cap,g_mean_cap,g_std_cap,g_shortest_path,g_supply,g_number_of_supply_nodes,g_arcs_source_sink,mst_sum_cost,mst_mean_cost,mst_std_cost,mst_sum_cap,mst_mean_cap,mst_std_cap,Network Simplex,CS2,SSP,CAS,CC Simple,CC Minimum Mean Cycle,CC Cancel and Tighten,Minimum
31002200,202,410,1,100,20810,0.5075609756097561,0.2896051179291476,35,9952,1994451,0.4887976923378558,0.2874974530094297,369,1414.0,1,11,5379,0.347547974413646,0.2171260444510708,968072,0.4882683097085537,0.2866576504576846,53,258,56,82,2444,5311,1367,Network Simplex
31006323,1002,2030,1,1000,1020720,0.5028177339901477,0.2910916218243717,2,10000,9998573,0.4925405418719211,0.290596603231281,5189,3162.0,1,21,268757,0.2989849793858702,0.1970906578832412,5002127,0.499712987012987,0.2971617379015948,612,1897,1495,2623,140143,433513,24409,Network Simplex
31007490,502,1095,1,100,55714,0.5088036529680365,0.2911481488054936,1,10,6057,0.5531506849315069,0.2843347280372624,130,223.0,1,6,13122,0.2878199644666711,0.1922051101140607,2801,0.5590818363273453,0.2885408872278186,196,1278,2721,1129,16211,60437,5288,Network Simplex
31008047,102,185,1,100,10334,0.5585945945945946,0.291486725807768,80,9941,939585,0.5108980824703588,0.2949142932975927,1021,1000.0,1,21,3609,0.4411441144114411,0.278571255787747,493979,0.4961835434836981,0.3015499340970723,89,272,26,42,540,490,526,SSP
31008245,202,390,1,2,578,0.7410256410256411,0.2498388698361392,1,999,199158,0.5111727111727111,0.2911532375841927,27,141.0,1,21,225,0.5597014925373134,0.1621310521074659,102855,0.5122286465570047,0.296214860698254,62,172,103,136,8821,10982,3008,Network Simplex
31010598,102,215,1,2,319,0.7418604651162791,0.2498674608104798,37,9969,1059763,0.4944458052520954,0.3051095380236584,7,100.0,1,6,109,0.5396039603960396,0.135031501950355,507713,0.5044011023618918,0.3031817763203461,18,196,31,33,207,500,318,Network Simplex
31011337,27,50,217,9888,269726,0.5455622977346278,0.3045276405091784,1,100,2324,0.4648,0.2983973190228089,18110,50.0,1,6,83219,0.4425789227365554,0.3040039206678152,1183,0.455,0.3188712062163126,19,61,19,32,219,407,152,Network Simplex
31012994,252,545,14,9982,2661700,0.4892659999007387,0.2869600642285077,1,10,2982,0.5471559633027523,0.2791799647891452,13501,158.0,1,6,599206,0.3811711480757475,0.2546686962869339,1444,0.5752988047808765,0.2849956495763679,97,737,908,1023,5640,16643,2296,Network Simplex
31013388,52,95,1,10,540,0.5684210526315789,0.2862693460784006,188,9791,516195,0.5549618607851464,0.2940360423551996,44,7071.0,1,11,187,0.4583333333333333,0.2395700124174,283802,0.5683530893717921,0.2977414884290945,18,101,26,46,491,731,384,Network Simplex
31013512,502,1040,1,10,5614,0.5398076923076923,0.2886839527168301,3,9999,5161597,0.4963570395501088,0.2914979051304531,33,22360.0,1,11,1523,0.3799900199600798,0.2076987538611838,2461376,0.4913417489453536,0.3028818935270791,384,1478,1884,2894,35082,100884,5838,Network Simplex
31027720,202,410,3,996,206911,0.5066877265158194,0.2790316422260019,1,1000,200311,0.4885634146341463,0.2947040717075745,3390,1414.0,1,11,56716,0.4143453072376736,0.2473716676740266,99542,0.4962262834125963,0.2866700778741042,66,466,595,836,12947,20564,2051,Network Simplex
31030250,402,800,1,100,38435,0.4804375,0.2788573714172713,4,1000,392295,0.4903687499999999,0.2926249438674658,707,200.0,1,21,10382,0.3498685718137089,0.2142901041022435,191896,0.4804655029093931,0.2847563145738693,153,1325,89,253,17994,27636,4872,SSP
31030423,2002,4080,1,10,22379,0.5485049019607844,0.2851087167522727,1,9994,20170509,0.4946720238025168,0.2892162336823037,75,447.0,1,21,6369,0.3536565050807929,0.1884992285338387,10062338,0.503167367686979,0.2928775978358928,720,2357,401,770,123674,343796,24915,SSP
31042259,1002,2030,1,2,3008,0.7408866995073892,0.2498338402901644,4,9988,10273060,0.506670073053181,0.2854312679750529,26,3162.0,1,21,1077,0.537962037962038,0.1324382975380904,5070053,0.5071073299947949,0.28536531180748,352,1174,247,747,92341,242349,12183,SSP
31044508,402,800,1,10,4224,0.528,0.2814977797425763,1,1000,408423,0.51052875,0.2930766395901207,85,2000.0,1,21,1215,0.3787406483790523,0.1961721534370213,202745,0.5086504061777146,0.287563222730088,492,1959,3584,3341,49654,79293,7495,Network Simplex
31051517,1002,2030,6,9993,10098340,0.4978036349582639,0.2875181165770192,1,1000,1023854,0.5043615763546798,0.2872456738478634,68617,316.0,1,21,2665135,0.3325596461994163,0.21366511234168,506026,0.5055204795204795,0.2911623401503841,428,2006,683,1339,27369,90294,13848,Network Simplex
31054701,502,1095,1,999,551332,0.5040035469259213,0.2890956206575775,1,1000,543540,0.4963835616438356,0.2887069723684622,1447,2236.0,1,6,126320,0.351163967329964,0.2247236167534554,245612,0.4922123624237469,0.2937114644826106,198,1574,1917,2854,12187,43811,4343,Network Simplex
31061325,252,545,3,999,276169,0.5072393494411843,0.2951236101780091,5,997,270695,0.4981826212582702,0.2907061836132477,1111,1581.0,1,6,64324,0.291216950380297,0.1978921083740164,119533,0.4815238540277716,0.2903917022570473,48,504,281,568,2596,6404,1303,Network Simplex
31067773,1002,2090,1,10,11385,0.5447368421052632,0.2909044675092185,1,10,11666,0.5581818181818182,0.28617682066124,31,316.0,1,11,3043,0.3377733377733378,0.1888729433241875,5578,0.5572427572427572,0.2888365687487363,528,3746,9951,8434,75141,230346,17175,Network Simplex
31072639,402,800,1,10,4399,0.549875,0.287010425551059,2,999,403802,0.5052577577577577,0.2942350603019651,74,2000.0,1,21,1294,0.4033665835411471,0.2126337344308367,207924,0.5190327484591823,0.2997507954022272,287,1342,1207,1037,32224,73821,7925,Network Simplex
31077892,1002,2030,1,2,3059,0.753448275862069,0.2499762176559583,4,9994,10397705,0.5125097225823179,0.2879611162939826,25,316.0,1,21,1106,0.5524475524475524,0.153209106994452,5163869,0.516180737413477,0.2854979401552409,886,1838,318,549,58003,84370,7441,SSP
31078533,402,800,1,1000,410196,0.512745,0.2881629139479957,1,100,40481,0.5060125,0.2866984039783793,6500,200.0,1,21,113043,0.3480280779532649,0.2172259474930091,21015,0.524064837905237,0.2801677192473563,241,1561,2451,1949,43886,85955,10523,Network Simplex
31079240,202,390,1,10,2129,0.5458974358974359,0.2985796972911102,32,9941,1920668,0.4954018452459253,0.2893520120392439,77,141.0,1,21,630,0.3482587064676617,0.2054734622093033,1008116,0.5143050130806183,0.283139671858929,80,300,35,40,2870,2914,1497,SSP
31082294,1002,1970,1,2,2955,0.75,0.25,9,10000,9880018,0.5015237563451777,0.2858894250837592,68,316.0,1,51,1119,0.5589410589410589,0.1612342427694442,4948073,0.4949068752633029,0.292472550124251,637,744,85,140,4097,14707,7304,SSP
31087521,52,105,1,100,4827,0.4597142857142857,0.2742312445915018,19,9856,532438,0.514492501546073,0.2905352994334353,187,7071.0,1,6,1346,0.3383609854198089,0.2460590151588073,255811,0.508918624267889,0.288026574607077,41,79,54,42,401,1054,323,Network Simplex
31090728,5002,9950,1,10,54997,0.5527336683417086,0.2872431155996738,2,10000,49692405,0.4994211557788944,0.2871380894197931,425,7071.0,1,101,16196,0.3598391432824546,0.1933421405575544,24799079,0.495931996718968,0.2868930856806531,7462,17759,18269,19861,3742386,8678977,463678,Network Simplex
31094272,1002,2090,3,9996,10523019,0.5036952101414729,0.287620381431909,1,1000,1049304,0.5020593301435406,0.2910476560749602,30431,3162.0,1,11,2656828,0.3467242098202254,0.2191019633366978,507889,0.5073816183816184,0.2916500205508152,287,3797,2070,3375,76547,288966,12964,Network Simplex
31094624,502,1095,20,9973,5460241,0.5000021519289295,0.2931522032520894,2,1000,547708,0.5001899543378996,0.2962688839358302,12737,2236.0,1,6,1233083,0.3071946471510299,0.2109415032957904,257749,0.5149840459221696,0.2931426123354066,249,1597,913,1925,10935,59149,3328,Network Simplex
31095837,1002,2030,1,100,105358,0.5190049261083743,0.2883140989965058,2,9997,10261786,0.5056583970264972,0.2913607647202252,726,31622.0,1,21,28763,0.3380501851090086,0.2093320125629293,5073914,0.5070366264724572,0.2873434892233381,672,4261,10065,12086,132487,398324,24472,Network Simplex
31100137,102,200,1,2,298,0.745,0.2499499949989997,14,9885,1043525,0.5278325746079919,0.2908534916205387,13,1000.0,1,11,112,0.5544554455445545,0.1557636903222997,570770,0.5726781636412527,0.2870711754264481,26,94,24,28,747,1100,476,SSP
31102452,27,50,49,993,24538,0.4942195367573011,0.2879240241797421,1,100,2470,0.494,0.2762390269313878,1528,50.0,1,6,7181,0.3245503028111723,0.2223894186856337,1327,0.5155400155400156,0.246063093490839,9,46,14,12,111,224,124,Network Simplex
31106495,252,545,1,2,841,0.771559633027523,0.2490686295455904,21,9999,2780644,0.5102609343503158,0.2981392589673569,6,158.0,1,6,277,0.5517928286852589,0.1523611408444059,1219155,0.4887001946936071,0.3000721112370095,35,148,61,95,751,1834,824,Network Simplex
31107963,52,95,1,100,4953,0.5213684210526316,0.3036778435891901,293,9877,465474,0.4960743460351801,0.2906460100921341,356,707.0,1,11,1469,0.4056890361778514,0.2774469089189081,257696,0.5115786924266518,0.2686051466864865,20,78,17,23,246,311,278,SSP
31108435,2502,5000,1,2,7475,0.7475,0.2499874996874843,1,100,255319,0.510638,0.2863252223538821,66,500.0,1,51,2773,0.5543782487005198,0.1556667286819001,128592,0.5141623350659735,0.2846586303319404,5292,9725,42519,13660,669114,2206347,101919,Network Simplex
31115100,1002,2090,9,9991,10395063,0.4978194729323377,0.2888894239109953,1,1000,1059722,0.507044019138756,0.2904662857098664,28954,316.0,1,11,2572011,0.3174109398939541,0.2080512236687565,513099,0.5130995130995132,0.2900774582206956,261,1770,348,909,20380,65873,9204,Network Simplex
31117372,1002,1910,1,2,2856,0.7476439790575916,0.2499888980841328,4,9988,9548664,0.5005306891830406,0.291687745531791,138,316.0,1,101,1133,0.5659340659340659,0.1691736738279192,5029433,0.5034982053721406,0.2927974848804212,998,2209,358,442,47777,50140,20782,SSP
31117553,5002,10050,1,100,510007,0.5074696517412935,0.2889056643782343,1,10000,50266648,0.5001656517412936,0.2873301420208632,1691,707.0,1,51,136885,0.3041280632762336,0.1902182387390746,25079419,0.5014880823835233,0.2866634025903291,7738,8326,2215,2784,289993,1620091,122196,SSP
31124058,52,105,4,99,5325,0.5122655122655123,0.2801138007642684,537,9980,530498,0.5062486878518943,0.2832404837216878,223,707.0,1,6,1403,0.4232277526395174,0.231910151975599,245176,0.4817006562143895,0.3024126976407336,14,53,10,11,123,201,157,SSP
31124137,5002,9950,1,2,14924,0.7499497487437186,0.2499999949496224,1,1000,4987593,0.5012656281407035,0.2879236039351365,136,707.0,1,101,5508,0.5506898620275945,0.1509154362595844,2532489,0.5063965206958608,0.2874852994161891,6416,12531,16876,12741,3297149,6119682,318301,Network Simplex
31128478,1002,2090,1,10,11361,0.5435885167464114,0.2864224855888762,13,9999,10594496,0.5069643806485912,0.2918486855210406,30,3162.0,1,11,3063,0.33999333999334,0.1888076975937625,5069128,0.5064570393103246,0.2891331932502982,213,1120,166,332,14572,73911,4780,SSP
31130619,202,410,1,10,2218,0.5409756097560976,0.282806534561141,4,9996,2133558,0.5205882352941177,0.2995693267752882,41,1414.0,1,11,633,0.3936567164179104,0.2144359407926897,1066268,0.5306938695876361,0.2902442720074111,51,227,45,63,1709,5248,1654,SSP
31132099,52,105,1,10,601,0.5723809523809524,0.2789419595185445,339,9933,561814,0.5386700416600749,0.2671525543184729,23,707.0,1,6,186,0.4558823529411764,0.2435736911530361,260463,0.5260730992025983,0.269140375652081,17,46,9,13,112,224,171,SSP
31134862,1002,2030,1,1000,1022734,0.5038098522167488,0.2921523597067875,1,100,103891,0.5117783251231527,0.2922025077579792,6629,316.0,1,21,265142,0.3090748224937256,0.2010850704603042,50702,0.5065134865134865,0.2849048285070392,1496,4848,9149,6402,148150,356947,27730,Network Simplex
31136776,402,800,2,998,400388,0.5014879759519039,0.2906459567297725,14,9984,4064481,0.5088743239182693,0.296460141033053,6984,200.0,1,21,106777,0.3400725516986588,0.2191206864048052,2027116,0.5071889354570831,0.2994336576947873,137,1081,142,128,3342,12859,3909,CAS
31137550,502,1040,1,100,50824,0.4886923076923077,0.2897791293157294,1,1000,526044,0.5058115384615385,0.288127070427299,254,2236.0,1,11,12486,0.3236643595925033,0.2150860118275141,257521,0.5140139720558882,0.2950408439609351,173,1179,974,1456,36285,101679,9116,Network Simplex
31139153,502,1095,1,2,1635,0.7465753424657534,0.2499765423410227,1,1000,544893,0.4976191780821918,0.293880878854685,7,2236.0,1,6,554,0.5528942115768463,0.1537833156427802,248676,0.4963592814371257,0.2907579307775843,75,408,279,704,8501,49070,1873,Network Simplex
