,g_number_of_nodes,g_number_of_arcs,g_min_cost,g_max_cost,g_sum_cost,g_mean_cost,g_std_cost,g_min_cap,g_max_cap,g_sum_cap,g_mean_cap,g_std_cap,g_supply,g_number_of_supply_nodes,g_arcs_source_sink,mst_sum_cost,mst_mean_cost,mst_std_cost,mst_sum_cap,mst_mean_cap,mst_std_cap,Network Simplex,CS2,SSP,CAS,CC Simple,CC Minimum Mean Cycle,CC Cancel and Tighten,Minimum
31002200,202,410,1,100,20810,0.5075609756097561,0.2896051179291477,35,9952,1994451,0.4887976923378559,0.2874974530094297,1414.0,1,11,5379,0.34754797441364604,0.21712604445107084,968072,0.4882683097085537,0.28665765045768465,53,258,56,82,2444,5311,1367,Network Simplex
31006323,1002,2030,1,1000,1020720,0.5028177339901477,0.2910916218243717,2,10000,9998573,0.4925405418719211,0.29059660323128106,3162.0,1,21,268757,0.29898497938587026,0.1970906578832413,5002127,0.49971298701298705,0.29716173790159484,612,1897,1495,2623,140143,433513,24409,Network Simplex
31007490,502,1095,1,100,55714,0.5088036529680365,0.2911481488054937,1,10,6057,0.5531506849315069,0.28433472803726245,223.0,1,6,13122,0.2878199644666711,0.1922051101140608,2801,0.5590818363273453,0.2885408872278186,196,1278,2721,1129,16211,60437,5288,Network Simplex
31008047,102,185,1,100,10334,0.5585945945945946,0.291486725807768,80,9941,939585,0.5108980824703588,0.2949142932975927,1000.0,1,21,3609,0.4411441144114411,0.27857125578774705,493979,0.4961835434836981,0.3015499340970724,89,272,26,42,540,490,526,SSP
31008245,202,390,1,2,578,0.7410256410256411,0.2498388698361393,1,999,199158,0.5111727111727111,0.2911532375841928,141.0,1,21,225,0.5597014925373134,0.1621310521074659,102855,0.5122286465570047,0.29621486069825403,62,172,103,136,8821,10982,3008,Network Simplex
31010598,102,215,1,2,319,0.7418604651162791,0.24986746081047986,37,9969,1059763,0.4944458052520954,0.3051095380236584,100.0,1,6,109,0.5396039603960396,0.13503150195035502,507713,0.5044011023618918,0.3031817763203461,18,196,31,33,207,500,318,Network Simplex
31011337,27,50,217,9888,269726,0.5455622977346278,0.3045276405091785,1,100,2324,0.4648,0.2983973190228089,50.0,1,6,83219,0.44257892273655547,0.3040039206678152,1183,0.455,0.3188712062163126,19,61,19,32,219,407,152,Network Simplex
31012994,252,545,14,9982,2661700,0.4892659999007388,0.2869600642285077,1,10,2982,0.5471559633027523,0.27917996478914525,158.0,1,6,599206,0.3811711480757475,0.25466869628693395,1444,0.5752988047808765,0.2849956495763679,97,737,908,1023,5640,16643,2296,Network Simplex
31013388,52,95,1,10,540,0.5684210526315789,0.28626934607840065,188,9791,516195,0.5549618607851464,0.29403604235519964,7071.0,1,11,187,0.4583333333333333,0.2395700124174001,283802,0.5683530893717921,0.2977414884290945,18,101,26,46,491,731,384,Network Simplex
31013512,502,1040,1,10,5614,0.5398076923076923,0.28868395271683017,3,9999,5161597,0.4963570395501089,0.2914979051304531,22360.0,1,11,1523,0.3799900199600799,0.20769875386118386,2461376,0.4913417489453537,0.3028818935270792,384,1478,1884,2894,35082,100884,5838,Network Simplex
31027720,202,410,3,996,206911,0.5066877265158194,0.2790316422260019,1,1000,200311,0.4885634146341463,0.2947040717075745,1414.0,1,11,56716,0.4143453072376737,0.24737166767402666,99542,0.4962262834125963,0.28667007787410426,66,466,595,836,12947,20564,2051,Network Simplex
31030250,402,800,1,100,38435,0.4804375,0.2788573714172713,4,1000,392295,0.49036875,0.2926249438674658,200.0,1,21,10382,0.3498685718137089,0.2142901041022436,191896,0.4804655029093932,0.2847563145738693,153,1325,89,253,17994,27636,4872,SSP
31030423,2002,4080,1,10,22379,0.5485049019607844,0.2851087167522727,1,9994,20170509,0.4946720238025169,0.28921623368230376,447.0,1,21,6369,0.3536565050807929,0.18849922853383871,10062338,0.503167367686979,0.2928775978358928,720,2357,401,770,123674,343796,24915,SSP
31042259,1002,2030,1,2,3008,0.7408866995073892,0.2498338402901644,4,9988,10273060,0.506670073053181,0.28543126797505297,3162.0,1,21,1077,0.537962037962038,0.13243829753809044,5070053,0.5071073299947949,0.28536531180748004,352,1174,247,747,92341,242349,12183,SSP
31044508,402,800,1,10,4224,0.528,0.2814977797425763,1,1000,408423,0.51052875,0.2930766395901207,2000.0,1,21,1215,0.3787406483790524,0.19617215343702132,202745,0.5086504061777146,0.28756322273008805,492,1959,3584,3341,49654,79293,7495,Network Simplex
31051517,1002,2030,6,9993,10098340,0.4978036349582639,0.2875181165770192,1,1000,1023854,0.5043615763546798,0.2872456738478634,316.0,1,21,2665135,0.3325596461994164,0.21366511234168006,506026,0.5055204795204795,0.2911623401503841,428,2006,683,1339,27369,90294,13848,Network Simplex
31054701,502,1095,1,999,551332,0.5040035469259213,0.2890956206575775,1,1000,543540,0.4963835616438356,0.2887069723684622,2236.0,1,6,126320,0.35116396732996397,0.22472361675345545,245612,0.4922123624237469,0.29371146448261065,198,1574,1917,2854,12187,43811,4343,Network Simplex
31061325,252,545,3,999,276169,0.5072393494411843,0.29512361017800914,5,997,270695,0.4981826212582702,0.2907061836132477,1581.0,1,6,64324,0.291216950380297,0.1978921083740164,119533,0.4815238540277717,0.29039170225704736,48,504,281,568,2596,6404,1303,Network Simplex
31067773,1002,2090,1,10,11385,0.5447368421052632,0.2909044675092185,1,10,11666,0.5581818181818182,0.2861768206612401,316.0,1,11,3043,0.3377733377733378,0.18887294332418755,5578,0.5572427572427572,0.2888365687487363,528,3746,9951,8434,75141,230346,17175,Network Simplex
31072639,402,800,1,10,4399,0.549875,0.28701042555105905,2,999,403802,0.5052577577577577,0.2942350603019652,2000.0,1,21,1294,0.4033665835411471,0.2126337344308368,207924,0.5190327484591823,0.2997507954022272,287,1342,1207,1037,32224,73821,7925,Network Simplex
31077892,1002,2030,1,2,3059,0.7534482758620691,0.2499762176559584,4,9994,10397705,0.5125097225823179,0.28796111629398263,316.0,1,21,1106,0.5524475524475524,0.15320910699445206,5163869,0.516180737413477,0.2854979401552409,886,1838,318,549,58003,84370,7441,SSP
31078533,402,800,1,1000,410196,0.512745,0.2881629139479957,1,100,40481,0.5060125,0.2866984039783793,200.0,1,21,113043,0.34802807795326496,0.2172259474930091,21015,0.5240648379052371,0.28016771924735634,241,1561,2451,1949,43886,85955,10523,Network Simplex
31079240,202,390,1,10,2129,0.5458974358974359,0.2985796972911102,32,9941,1920668,0.4954018452459253,0.28935201203924393,141.0,1,21,630,0.3482587064676617,0.20547346220930332,1008116,0.5143050130806183,0.28313967185892897,80,300,35,40,2870,2914,1497,SSP
31082294,1002,1970,1,2,2955,0.75,0.25,9,10000,9880018,0.5015237563451777,0.2858894250837592,316.0,1,51,1119,0.5589410589410589,0.16123424276944426,4948073,0.494906875263303,0.292472550124251,637,744,85,140,4097,14707,7304,SSP
31087521,52,105,1,100,4827,0.4597142857142857,0.2742312445915018,19,9856,532438,0.5144925015460731,0.2905352994334353,7071.0,1,6,1346,0.3383609854198089,0.2460590151588073,255811,0.5089186242678889,0.288026574607077,41,79,54,42,401,1054,323,Network Simplex
31090728,5002,9950,1,10,54997,0.5527336683417086,0.28724311559967386,2,10000,49692405,0.4994211557788945,0.2871380894197931,7071.0,1,101,16196,0.3598391432824546,0.19334214055755444,24799079,0.495931996718968,0.28689308568065314,7462,17759,18269,19861,3742386,8678977,463678,Network Simplex
31094272,1002,2090,3,9996,10523019,0.5036952101414729,0.287620381431909,1,1000,1049304,0.5020593301435406,0.29104765607496025,3162.0,1,11,2656828,0.34672420982022545,0.21910196333669785,507889,0.5073816183816184,0.29165002055081524,287,3797,2070,3375,76547,288966,12964,Network Simplex
31094624,502,1095,20,9973,5460241,0.5000021519289295,0.2931522032520894,2,1000,547708,0.5001899543378996,0.2962688839358302,2236.0,1,6,1233083,0.30719464715102995,0.2109415032957904,257749,0.5149840459221696,0.2931426123354066,249,1597,913,1925,10935,59149,3328,Network Simplex
31095837,1002,2030,1,100,105358,0.5190049261083743,0.2883140989965058,2,9997,10261786,0.5056583970264972,0.2913607647202253,31622.0,1,21,28763,0.33805018510900864,0.20933201256292935,5073914,0.5070366264724572,0.2873434892233381,672,4261,10065,12086,132487,398324,24472,Network Simplex
31100137,102,200,1,2,298,0.745,0.2499499949989997,14,9885,1043525,0.5278325746079919,0.2908534916205387,1000.0,1,11,112,0.5544554455445545,0.15576369032229972,570770,0.5726781636412527,0.28707117542644817,26,94,24,28,747,1100,476,SSP
31102452,27,50,49,993,24538,0.4942195367573011,0.2879240241797421,1,100,2470,0.494,0.2762390269313878,50.0,1,6,7181,0.3245503028111724,0.22238941868563372,1327,0.5155400155400156,0.24606309349083905,9,46,14,12,111,224,124,Network Simplex
31106495,252,545,1,2,841,0.7715596330275231,0.2490686295455904,21,9999,2780644,0.5102609343503158,0.2981392589673569,158.0,1,6,277,0.5517928286852589,0.1523611408444059,1219155,0.4887001946936072,0.30007211123700955,35,148,61,95,751,1834,824,Network Simplex
31107963,52,95,1,100,4953,0.5213684210526316,0.3036778435891901,293,9877,465474,0.4960743460351802,0.2906460100921341,707.0,1,11,1469,0.40568903617785146,0.27744690891890816,257696,0.5115786924266518,0.2686051466864865,20,78,17,23,246,311,278,SSP
31108435,2502,5000,1,2,7475,0.7475,0.2499874996874844,1,100,255319,0.510638,0.2863252223538821,500.0,1,51,2773,0.5543782487005198,0.15566672868190012,128592,0.5141623350659735,0.2846586303319404,5292,9725,42519,13660,669114,2206347,101919,Network Simplex
31115100,1002,2090,9,9991,10395063,0.4978194729323377,0.28888942391099537,1,1000,1059722,0.5070440191387561,0.29046628570986643,316.0,1,11,2572011,0.3174109398939541,0.2080512236687565,513099,0.5130995130995132,0.2900774582206956,261,1770,348,909,20380,65873,9204,Network Simplex
31117372,1002,1910,1,2,2856,0.7476439790575916,0.2499888980841328,4,9988,9548664,0.5005306891830406,0.291687745531791,316.0,1,101,1133,0.5659340659340659,0.16917367382791926,5029433,0.5034982053721406,0.2927974848804212,998,2209,358,442,47777,50140,20782,SSP
